chinese-car-rules-true-001	尊重生命是駕駛道德最重要的一點，我們開車時要處處顧到行人，尤其應該注意讓老弱婦孺身心障礙者優先通行。 	O	05	chinese	car	rules	true
chinese-car-rules-true-161	計程車不得任意拒載乘客，但可以故意繞道行駛。 	X	02	chinese	car	rules	true
chinese-car-rules-true-162	行車時行車執照、 駕駛執照及其他法定證件，均須隨身攜帶。 	O	02	chinese	car	rules	true
chinese-car-rules-true-163	行車不必攜帶隨車工具。 	X	02	chinese	car	rules	true
chinese-car-rules-true-164	行車起駛前進，不必顯示方向燈。 	X	02	chinese	car	rules	true
chinese-car-rules-true-165	執行任務中的消防車、救護車、警備車、工程救險車及毒性化學物質災害事故應變車，行車速度不受規定限制。  	O	02	chinese	car	rules	true
chinese-car-rules-true-166	汽車除行駛於單行道外，均應靠右行駛，但遇有特殊情況，必須行駛左側道路時，應減速慢行，並注意前方來車及行人。 	O	02	chinese	car	rules	true
chinese-car-rules-true-167	汽車在雙向二車道行駛時，均應在遵行車道內行駛。 	O	02	chinese	car	rules	true
chinese-car-rules-true-168	汽車行駛於劃有路面邊線之單行道上，除準備停車或臨時停車外，不得駛出路面邊線。 	O	02	chinese	car	rules	true
chinese-car-rules-true-169	執行任務中的消防車、救護車、警備車、工程救險車，在同向二車道以上之道路行駛時，內外側車道均可行駛。 	O	02	chinese	car	rules	true
chinese-car-rules-true-170	汽車在同向二車道以上道路行駛，變換車道時，應先顯示燈光或手勢，並須保持安全距離。 	O	02	chinese	car	rules	true
chinese-car-rules-true-171	在單ㄧ車道的橋樑上及隧道內，不得會車。 	O	02	chinese	car	rules	true
chinese-car-rules-true-172	汽車行經多車道之圓環，應讓內側車道之車輛先行。 	O	02	chinese	car	rules	true
chinese-car-rules-true-173	在倒車時，應顯示倒車燈光或手勢後，謹慎緩慢後倒，並應注意其他車輛及行人。 	O	02	chinese	car	rules	true
chinese-car-rules-true-174	在同向二車道以上之道路，小型汽車內外側車道均可行駛。但不得任意變換車道行駛。 	O	02	chinese	car	rules	true
chinese-car-rules-true-175	由同向二車道，進入一車道時，應讓直行車道之車輛先行。 	O	02	chinese	car	rules	true
chinese-car-rules-true-176	汽車在同向二車道以上之道路行駛，除準備停車或臨時停車外，不得駛出路面邊線或跨越兩條車道行駛。 	O	02	chinese	car	rules	true
chinese-car-rules-true-177	設有左右轉彎專用車道之交岔路口，直行車不得占用轉彎專用車道。 	O	02	chinese	car	rules	true
chinese-car-rules-true-178	汽車在未劃有分向標線之道路，或鐵路平交道或不良道路交會時，應減速慢行。 	O	02	chinese	car	rules	true
chinese-car-rules-true-179	對面有來車，或前行車連貫二輛以上時，不得超車。 	O	02	chinese	car	rules	true
chinese-car-rules-true-180	欲超越同一車道之前車時，須先鳴喇叭兩單響或變換燈光一次，俟前車減速靠邊，或以手勢表示允讓後，始得超越。 	O	02	chinese	car	rules	true
chinese-car-rules-true-181	前行車駕駛人聞後行車按鳴喇叭，如車前路況無障礙，應即減速靠邊或表示允讓。 	O	02	chinese	car	rules	true
chinese-car-rules-true-182	為了緊急事情趕路，可以跟在執行公務的消防車或警備車後面行駛。	X	00	chinese	car	rules	true
chinese-car-rules-true-183	交岔路口有交通指揮人員指揮，又有燈光號誌，應以燈光號誌為準。 	X	02	chinese	car	rules	true
chinese-car-rules-true-184	汽車行駛至交岔路口欲左轉彎時，應距交岔路口30公尺前顯示方向燈或手勢，換入內側車道或左轉車道，行至交岔路口中心處左轉，並不得佔用來車車道搶先左轉。 	O	02	chinese	car	rules	true
chinese-car-rules-true-185	在設有劃分島劃分快慢車道之道路，在慢車道上行駛之車輛，不得左轉。 	O	02	chinese	car	rules	true
chinese-car-rules-true-186	在設有劃分島劃分快慢車道之道路，在慢車道上行駛之車輛，不得右轉。 	X	02	chinese	car	rules	true
chinese-car-rules-true-187	在多車道的圓環，應讓外側車道之車輛先行。 	X	02	chinese	car	rules	true
chinese-car-rules-true-188	交岔路口，因特殊需要另設有標線、標誌者，應依其指示行車。 	O	02	chinese	car	rules	true
chinese-car-rules-true-189	汽車行近行人穿越道前，應減速慢行，在行人穿越道上有人穿越時，應暫停讓行人先行通過。 	O	02	chinese	car	rules	true
chinese-car-rules-true-190	在行人穿越道上，有人穿越時，汽車仍可慢行通過。 	X	02	chinese	car	rules	true
chinese-car-rules-true-191	行近鐵路平交道遮斷器已開始放下，或看守人表示停止，應即暫停。	O	06	chinese	car	rules	true
chinese-car-rules-true-192	鐵路平交道警鈴未響，閃光號誌未顯示，汽車駕駛人仍應看、聽鐵路兩方確無火車駛來，始得通過。 	O	06	chinese	car	rules	true
chinese-car-rules-true-193	汽車通過鐵路平交道，前後兩車間，不必保持距離。 	X	06	chinese	car	rules	true
chinese-car-rules-true-194	汽車行駛於實施管制之道路，應遵守各該道路之管制規定行駛。 	O	02	chinese	car	rules	true
chinese-car-rules-true-195	汽車經過實施管制之道路隨時均可通行。 	X	02	chinese	car	rules	true
chinese-car-rules-true-196	汽車在設有彎道、坡路、狹路、狹橋、隧道標誌之路段或鐵路平交道，不得迴車。 	O	02	chinese	car	rules	true
chinese-car-rules-true-197	如有相當空間，汽車在任何地方均可迴車。 	X	02	chinese	car	rules	true
chinese-car-rules-true-198	汽車在設有禁止迴車標誌，劃有分向限制線、禁止超車線、禁止變換車道線之路段，不得迴車。 	O	02	chinese	car	rules	true
chinese-car-rules-true-199	汽車在禁止左轉路段，不得迴車。 	O	02	chinese	car	rules	true
chinese-car-rules-true-200	汽車在迴車前，應暫停並顯示左轉燈光或手勢，看清確無來往車輛，並注意行人通過，始得迴轉。 	O	02	chinese	car	rules	true
chinese-car-rules-true-201	汽車行駛於下坡路段時，不得將引擎熄火，放空檔滑行。 	O	02	chinese	car	rules	true
chinese-car-rules-true-202	為節省汽油，汽車下坡時，可將引擎熄火，放空檔滑行。 	X	02	chinese	car	rules	true
chinese-car-rules-true-203	汽車過渡口時，應依到達先後次序過渡，不得搶先。 	O	02	chinese	car	rules	true
chinese-car-rules-true-204	貨車過渡口，其總重量超過渡船規定之重量者須將逾重物卸下，分別渡過。 	O	02	chinese	car	rules	true
chinese-car-rules-true-205	汽車夜間在市區道路行駛，如照明清楚時，應用近光燈。 	O	02	chinese	car	rules	true
chinese-car-rules-true-206	汽車夜間在市區道路行駛，如照明清楚時，應用遠光燈。 	X	02	chinese	car	rules	true
chinese-car-rules-true-207	汽車在設有彎道、狹路、坡路、單行道標誌之路段或鐵路平交道、快車道、大眾捷運系統車輛共用通行交岔路口且為大眾捷運系統車輛導引路線上等危險地帶，不得倒車。但因讓車、停車或起駛有倒車必要者，不在此限。 	O	02	chinese	car	rules	true
chinese-car-rules-true-208	倒車時，應按鳴喇叭3長聲，警告其他車輛或行人。 	X	02	chinese	car	rules	true
chinese-car-rules-true-209	汽車在機場、車站、碼頭、學校、娛樂、展覽、競技、市場或其他公共場所出、入口及消防栓之前，不得停車。  	O	02	chinese	car	rules	true
chinese-car-rules-true-210	汽車在同一車道行駛時，前車如須減速暫停，駕駛人應預先顯示燈光或手勢告知後車。 	O	02	chinese	car	rules	true
chinese-car-rules-true-211	自用汽車，不得在營業汽車招呼站停車。 	O	02	chinese	car	rules	true
chinese-car-rules-true-212	在顯有妨礙他車通行處所，不得停車。 	O	02	chinese	car	rules	true
chinese-car-rules-true-213	在不得已時，把車停在坡道上，應注意防止車輛滑行。 	O	02	chinese	car	rules	true
chinese-car-rules-true-214	汽車在中途發生故障，無法移置於不妨礙交通處所時，如在市區道路，僅閃亮左右方或左方之方向燈即可，無需設置車輛故障標誌。 	X	02	chinese	car	rules	true
chinese-car-rules-true-215	汽車發生故障，無法移置於無礙交通場所時，如在市區道路，應按鳴喇叭，以警告他車。 	X	02	chinese	car	rules	true
chinese-car-rules-true-216	汽車於行車時速在40公里之路段發生故障，無法移置於無礙交通之場所，應在車身後方5-30公尺處之路面上，設置車輛故障標誌。 	O	02	chinese	car	rules	true
chinese-car-rules-true-217	夜間將車輛停放在無燈光設備或照明不清之道路時，應顯示停車燈光或反光標識。 	O	02	chinese	car	rules	true
chinese-car-rules-true-218	夜間將車輛停放在無燈光設備及照明不清之道路時，亦不必顯示停車燈光或反光標識。 	X	02	chinese	car	rules	true
chinese-car-rules-true-219	停車後向外開啟車門時，應注意行人與車輛並讓其先行。 	O	02	chinese	car	rules	true
chinese-car-rules-true-220	對汽車停車時間、位置、方式及車種，如公路或警察機關有特別規定時，應按其規定。 	O	02	chinese	car	rules	true
chinese-car-rules-true-221	執行任務之消防車、警備車等，其臨時停車及停車地點不受限制。 	O	02	chinese	car	rules	true
chinese-car-rules-true-222	裝載危險物品，除應在車頭及車尾懸掛危險標識外，並應在規定之路線及時間內行駛。 	O	02	chinese	car	rules	true
chinese-car-rules-true-223	在夜間或有霧靄、雨雪、風沙及晝晦時，把車輛停在路旁，不必顯示停車燈光或反光標識。 	X	02	chinese	car	rules	true
chinese-car-rules-true-224	曾犯故意殺人、搶劫、搶奪、強盜、恐嚇取財、擄人勒贖等罪，經判決罪刑確定者，不得辦理計程車駕駛人執業登記。 	O	02	chinese	car	rules	true
chinese-car-rules-true-225	在超過時速40公里之路段，汽車拋錨時，應在車身後方30-100公尺之路面上豎立車輛故障標誌。 	O	02	chinese	car	rules	true
chinese-car-rules-true-226	自民國96年2月起以領有大貨車駕照直接晉級考領聯結車駕照者，得駕駛大客車。 	X	02	chinese	car	rules	true
chinese-car-rules-true-227	已領有大客車駕駛執照者得駕駛大貨車、代用大客車、大客貨兩用車、曳引車、小型車及輕型機車。 	O	02	chinese	car	rules	true
chinese-car-rules-true-228	已領有大貨車駕駛執照者，得駕駛小型車及輕型機車。 	O	02	chinese	car	rules	true
chinese-car-rules-true-229	違反處罰條例之受處罰人不服處罰之裁決者，應以原處罰機關為被告，逕向管轄地方法院行政訴訟庭提起訴訟。 	O	02	chinese	car	rules	true
chinese-car-rules-true-230	持有職業駕駛執照未滿60歲之駕駛人，應自發照之日起，每滿3年審驗1次。 	O	02	chinese	car	rules	true
chinese-car-rules-true-231	貨車裝載貨物寬度不得超過車身。 	O	02	chinese	car	rules	true
chinese-car-rules-true-232	廂式貨車裝載貨物不得超出車廂以外。 	O	02	chinese	car	rules	true
chinese-car-rules-true-233	慢車駕駛人、行人不依規定接受道路交通安全講習者，處以罰鍰。 	O	02	chinese	car	rules	true
chinese-car-rules-true-234	汽車駕駛人聞消防車、救護車、警備車、工程救險車、毒性化學物質災害事故應變車之警號不立即避讓或跟隨車後急駛處以罰鍰，並吊銷駕駛執照。  	O	02	chinese	car	rules	true
chinese-car-rules-true-235	汽車行駛至交岔路口，欲右轉彎時，應距交岔路口30公尺前，顯示方向燈或手勢，換入外側車道、右轉車道或慢車道，行至路口後再行右轉。 	O	02	chinese	car	rules	true
chinese-car-rules-true-236	汽車駕駛人違規肇事致受吊扣駕駛執照處分者，應施以道路交通安全講習。 	O	02	chinese	car	rules	true
chinese-car-rules-true-237	道路係指公路、街道、巷弄、廣場、騎樓、走廊及公眾通行之處。 	O	02	chinese	car	rules	true
chinese-car-rules-true-238	駕駛人酒精濃度超過規定標準，駕車肇事致人重傷或死亡者，除處罰鍰外，吊銷其駕照，並不得再考領。但符合特定條件，且所受吊銷駕駛執照處分，執行已逾相關規定期間者，不在此限。 	O	02	chinese	car	rules	true
chinese-car-rules-true-239	汽車駕駛人拒絕接受酒精濃度測試之檢定者，處新臺幣30,000元罰鍰。	X	02	chinese	car	rules	true
chinese-car-rules-true-240	汽車行駛於非高、快速公路之ㄧ般道路，汽車駕駛人、前座或小型車後座乘客未繫安全帶者，處駕駛人新臺幣1,500元罰鍰。	O	02	chinese	car	rules	true
chinese-car-rules-true-241	汽車駕駛人於開車時，以手持方式使用行動電話、電腦或其他相類功能裝置進行撥接、通話、數據通訊或其他有礙駕駛安全之行為者，處新臺幣3,000元罰鍰。 	O	02	chinese	car	rules	true
chinese-car-rules-true-242	汽車駕駛人酒後駕車，其酒精濃度超過規定標準者，處新臺幣15,000~90,000元罰鍰，並當場移置保管該汽車及吊扣其駕駛執照1年。 	O	02	chinese	car	rules	true
chinese-car-rules-true-243	未滿14歲之人違反道路交通管理處罰條例規定，處罰其法定代理人或監護人。 	O	02	chinese	car	rules	true
chinese-car-rules-true-244	大型車未依規定裝設行車紀錄器或行車紀錄器無法正常運作或不當使用行車紀錄器者，除罰鍰外，應責令其參加臨時檢驗。 	O	02	chinese	car	rules	true
chinese-car-rules-true-245	持小型車駕照駕駛大型汽車者，汽車所有人及駕駛人各處新臺幣40,000~80,000元罰鍰，並記該車違規紀錄1次。 	O	02	chinese	car	rules	true
chinese-car-rules-true-246	未滿18歲之人，未領有駕駛執照駕駛小型汽車或機車者，除處罰鍰並當場禁止其駕駛外，汽車駕駛人及其法定代理人或監護人，應同時施以道路交通安全講習。 	O	02	chinese	car	rules	true
chinese-car-rules-true-247	汽車裝載貨物超過核定之總重量，總聯結重量或超過所行駛橋樑規定之載重限制者，除責令改正或當場禁止通行外，不分超載程度一律處汽車所有人新台幣10,000元罰鍰。 	X	02	chinese	car	rules	true
chinese-car-rules-true-248	駕駛人開車時應按遵行方向行駛，違者除罰鍰外並違規記點。 	O	02	chinese	car	rules	true
chinese-car-rules-true-249	駕車行駛於人行道，應處以罰鍰並違規記點。 	O	02	chinese	car	rules	true
chinese-car-rules-true-250	駕駛人為了趕時間而闖紅燈，可以不被記違規點數3點，只繳罰鍰而已。 	X	02	chinese	car	rules	true
chinese-car-rules-true-251	在禁止左轉路段不可以迴車，違者除處罰鍰外並違規記點。 	O	02	chinese	car	rules	true
chinese-car-rules-true-252	繞行圓環迴車太麻煩，為了方便可以逕行迴車，反正不會被罰款及違規記點。	X	02	chinese	car	rules	true
chinese-car-rules-true-253	未經前行車表示允讓靠邊慢行，即行超車，要處以罰鍰。 	O	02	chinese	car	rules	true
chinese-car-rules-true-254	汽車駕駛人在1年內違規記點共達6點以上，才吊扣駕照1個月，因此可以不遵守交通規則。 	X	02	chinese	car	rules	true
chinese-car-rules-true-255	駕駛人酒精濃度超過規定標準駕車，只記違規點數2點而不罰鍰。 	X	02	chinese	car	rules	true
chinese-car-rules-true-256	違規記點又不登記在駕照上，所以可以不必理會而任意違反交通規則。	X	05	chinese	car	rules	true
chinese-car-rules-true-257	汽車記違規紀錄於3個月內共達3次以上者，吊扣其汽車牌照。 	O	02	chinese	car	rules	true
chinese-car-rules-true-258	隧道區域內禁止任意停車、臨時停車、倒車或超車。 	O	03	chinese	car	rules	true
chinese-car-rules-true-259	汽車進入隧道，應遵守車道管制號誌之指示行駛。 	O	03	chinese	car	rules	true
chinese-car-rules-true-260	汽車行駛於隧道內，行車速度應依速限標誌指示。 	O	03	chinese	car	rules	true
chinese-car-rules-true-261	行經長隧道，當交通壅塞或發生緊急事故時，應利用車行聯絡隧道逕行迴車，趕快駛離現場。 	X	03	chinese	car	rules	true
chinese-car-rules-true-262	高速或快速公路加速車道在主線出口最右側，是供汽車駛離主線加速用。 	X	04	chinese	car	rules	true
chinese-car-rules-true-263	高速或快速公路減速車道在主線入口最右側，是供汽車駛進主線減速用。 	X	04	chinese	car	rules	true
chinese-car-rules-true-264	汽車行駛高速或快速公路不得跨行車道曲折行進或在任何車道及路肩上迴轉反向行駛。 	O	04	chinese	car	rules	true
chinese-car-rules-true-265	汽車行駛高速或快速公路途中，除遇特殊狀況必須減速外，不得驟然減速或在車道中臨時停車或停車。	O	04	chinese	car	rules	true
chinese-car-rules-true-266	汽車不得在高速或快速公路減速車道或單車道之匝道上超越前車，但在加速車道上前車慢行阻路時，則可以超車。 	X	04	chinese	car	rules	true
chinese-car-rules-true-267	交流道係指設於主線入口最右側，供汽車駛進主線前加速之車道。 	X	04	chinese	car	rules	true
chinese-car-rules-true-268	匝道係指設於主線出口最右側，供汽車駛離主線時減速之車道。 	X	04	chinese	car	rules	true
chinese-car-rules-true-269	減速車道指設於主線出口最右側，供汽車駛離主線時減速之車道。 	O	04	chinese	car	rules	true
chinese-car-rules-true-270	載重之貨車、客貨兩用車、聯結車進入地磅站時，應依標誌、標線、號誌指示行駛，不得在地磅上緊急煞車。 	O	04	chinese	car	rules	true
chinese-car-rules-true-271	主線車道係指車道中可供汽車直駛之車道。 	O	04	chinese	car	rules	true
chinese-car-rules-true-272	汽車行駛高快或快速公路可曲折行進或在任何車道及路肩上迴轉反向行駛。 	X	04	chinese	car	rules	true
chinese-car-rules-true-273	在高速或快速公路行駛之汽車，可以在加速車道、減速車道或單車道之匝道上超越前車。 	X	04	chinese	car	rules	true
chinese-car-rules-true-274	行駛高速或快速公路時，除應遵守高速及快速公路交通管制規則外，對道路交通安全規則亦應同樣重視切實遵守。 	O	04	chinese	car	rules	true
chinese-car-rules-true-275	高速公路係指其出入口完全控制，中央分隔雙向行駛，除起迄點外，並與其他道路立體相交，專供汽車行駛之公路。 	O	04	chinese	car	rules	true
chinese-car-rules-true-276	高速公路上設有快、慢車道、行人穿越道及斑馬線。 	X	00	chinese	car	rules	true
chinese-car-rules-true-277	交流道係指高速公路與快速公路相互間，高速公路或快速公路與其他道路連接，以匝道構成立體相交之部份。 	O	04	chinese	car	rules	true
chinese-car-rules-true-278	行駛高速或快速公路可利用中央分隔帶迴轉。 	X	04	chinese	car	rules	true
chinese-car-rules-true-279	高速及快速公路之轄區，以路權範圍及與其他道路交接點為分界點。	O	04	chinese	car	rules	true
chinese-car-rules-true-280	行駛高速或快速公路時，如發生緊急情況無法繼續行駛時，應滑離車道，在路肩上停車待援。 	O	04	chinese	car	rules	true
chinese-car-rules-true-281	在高速或快速公路停放車道外側路肩之故障車輛最多以2小時為限。	O	04	chinese	car	rules	true
chinese-car-rules-true-282	汽車行駛高速或快速公路，除在指定場所以外，沿途不得隨意停車上下乘客或裝卸貨物。 	O	04	chinese	car	rules	true
chinese-car-rules-true-283	高速或快速公路的行車標誌，除了使用高速或快速公路特種標誌外，仍部份使用一般規定的行車標誌。 	O	05	chinese	car	rules	true
chinese-car-rules-true-284	高速或快速公路之中央分隔帶係指隔離雙向行車之中間界區。 	O	04	chinese	car	rules	true
chinese-car-rules-true-285	在高速或快速公路行車時，如錯過了出口交流道，就應立即倒車或迴轉駛回原出口位置。 	X	04	chinese	car	rules	true
chinese-car-rules-true-286	高速公路及快速公路管理機關，屬國道部分為臺灣區國道高速公路局，屬省道部分為公路總局。 	O	04	chinese	car	rules	true
chinese-car-rules-true-287	高速或快速公路行車速度規定，應依速限標誌指示行駛。 	O	04	chinese	car	rules	true
chinese-car-rules-true-288	汽缸總排氣量超過550立方公分以上之大型重型機車，其性能好，駕駛人駕駛技術優良，可以在任何路段及時段的高速或快速公路行車。 	X	04	chinese	car	rules	true
chinese-car-rules-true-289	汽缸總排氣量在 1,200立方公分﹝Ｃ.Ｃ.﹞以下之汽車，不論新舊與廠牌，一律不准在高速或快速公路行駛。 	X	04	chinese	car	rules	true
chinese-car-rules-true-290	高速公路現行行車時速規定最高為 120公里。 	X	04	chinese	car	rules	true
chinese-car-rules-true-291	汽車行駛高速或快速公路途中不得有缺水、缺電、缺燃料之情形。 	O	04	chinese	car	rules	true
chinese-car-rules-true-292	汽車行駛高速或快速公路，行經因事故或其他原因發生交通阻塞之路段時，可將車輛暫停或停駐路肩。 	X	04	chinese	car	rules	true
chinese-car-rules-true-293	高速或快速公路之內側車道為超車道，但小型車輛於不堵塞行車之狀況下，得以該路段容許之最高速限行駛於內側車道。 	O	04	chinese	car	rules	true
chinese-car-rules-true-294	在高速公路最高速限每小時90公里以上之路段，行駛速率低於每小時80公里之較慢速小型車，應行駛於外側車道，並得暫時利用緊鄰外側車道之車道超越前車。 	O	04	chinese	car	rules	true
chinese-car-rules-true-295	在高速公路服務區休息站停放之車輛，最多以12小時為限。 	X	04	chinese	car	rules	true
chinese-car-rules-true-296	正常天候情況下，汽車行駛高速或快速公路應依速限標誌指示行車。 	O	04	chinese	car	rules	true
chinese-car-rules-true-297	濃霧、濃煙、大雨、強風中在高速或快速公路行駛之車輛，最低行車速度限制仍應保持60公里以上。 	X	04	chinese	car	rules	true
chinese-car-rules-true-298	在單車道之匝道及加減速車道上行駛之車輛不得超車。 	O	04	chinese	car	rules	true
chinese-car-rules-true-299	在高速或快速公路行駛車輛，不可以超速競駛，亦不可低速併行。 	O	04	chinese	car	rules	true
chinese-car-rules-true-300	在高速行車情況下駕駛人容易產生心理上的緊張，遇見交通干擾時操作亦較易發生慌亂失常。 	O	05	chinese	car	rules	true
chinese-car-rules-true-301	在高速行車狀況下，駕駛人生理上對於緊急事件反應與應變能力並無影響。 	X	05	chinese	car	rules	true
chinese-car-rules-true-302	在高速行車狀況下，駕駛人視覺與平時一樣，沒有一點影響。 	X	05	chinese	car	rules	true
chinese-car-rules-true-303	在高速行車狀況下，駕駛人應更加注意兩側車道車輛動向。 	O	05	chinese	car	rules	true
chinese-car-rules-true-304	在高速或快速公路上行車，因為路面寬闊，坡平彎緩，駕駛人應提高警覺隨時注意速度，以免超速行駛。 	O	05	chinese	car	rules	true
chinese-car-rules-true-305	在高速行車狀況下，輪胎易生高熱及波狀變形，需要胎紋深度充足、胎壓正常之輪胎，防止輪胎爆破。	O	00	chinese	car	rules	true
chinese-car-rules-true-306	汽車由加速車道轉入主線車道時，應顯示方向燈並確保足夠之安全間距。 	O	05	chinese	car	rules	true
chinese-car-rules-true-307	進入高、快速公路，若鄰近主線車道車輛甚多，不能適時安全轉入時，應在加速車道中降低速度等待機會。 	O	05	chinese	car	rules	true
chinese-car-rules-true-308	變換車道應及早顯示方向燈，告知前後車輛，並注意鄰近車道車輛動向以策安全。 	O	05	chinese	car	rules	true
chinese-car-rules-true-309	行進中發現鄰側車道，車輛已顯示方向燈有變換車道意圖時，應加速行駛以免被超越。 	X	05	chinese	car	rules	true
chinese-car-rules-true-310	汽車行駛高速或快速公路前後兩車之間行車安全距離，在正常天候狀況下，小型車車速每小時90公里時，應保持45公尺以上距離。 	O	04	chinese	car	rules	true
chinese-car-rules-true-311	行駛高速或快速公路若錯過出口，可立即停車或倒車駛回。 	X	04	chinese	car	rules	true
chinese-car-rules-true-312	汽車行駛高速或快速公路途中若突然故障，應注意四周車輛動態，並先顯示方向燈滑離車道，逐漸減速駛進路肩，並在車後50~100公尺處設置車輛故障標誌，方向燈改為危險故障警示燈 。 	O	04	chinese	car	rules	true
chinese-car-rules-true-313	貨車裝載整體物品之寬度超過車身寬度，應向起運地或車籍所在地 公路監理機關申請核發臨時通行證。	O	02	chinese	car	rules	true
chinese-car-rules-true-314	大貨車裝載整體物品後，高度超過4公尺者，應向起運地或車籍所在地公路監理機關申請核發臨時通行證。	O	02	chinese	car	rules	true
chinese-car-rules-true-315	大客車行駛高速或快速公路，駕駛人及前座乘客應繫安全帶。 	O	02	chinese	car	rules	true
chinese-car-rules-true-316	高速或快速公路管理機關，得發布命令，指定時段於高速或快速公路特定匝道或路段之車道、路肩，禁止、限制或開放車輛通行，並包括乘載人數。 	O	04	chinese	car	rules	true
chinese-car-rules-true-317	汽車行駛高速或快速公路禁止跨行車道、迴轉、倒車或逆向行駛。 	O	04	chinese	car	rules	true
chinese-car-rules-true-318	汽車在道路行駛途中，不得驟然減速或任意變換車道。 	O	04	chinese	car	rules	true
chinese-car-rules-true-319	汽缸總排氣量未滿550立方公分之機車不得行駛高速公路。 	O	04	chinese	car	rules	true
