chinese-car-rules-true-001	尊重生命是駕駛道德最重要的一點，我們開車時要處處顧到行人，尤其應該注意讓老弱婦孺身心障礙者優先通行。 	O	05	chinese	car	rules	true
chinese-car-rules-true-320	高速公路每隔一段距離設立路邊緊急電話1具，係專供用路人緊急求援或通報路況之用。 	O	04	chinese	car	rules	true
chinese-car-rules-true-321	高速或快速公路之內側車道為超車道，但大、小型車輛於不堵塞行車之狀況下，均得以該路段容許之最高速限行駛於內側車道。 	X	04	chinese	car	rules	true
chinese-car-rules-true-322	大型車行駛高速或快速公路，應行駛於外側車道，並得暫時利用緊鄰外側車道之車道超越前車。 	O	04	chinese	car	rules	true
chinese-car-rules-true-323	貨車行駛高速或快速公路，其裝載之貨物，應嚴密覆蓋及捆紮牢固。裝載砂石等粒狀物品，除應嚴密覆蓋外，並不得超過車廂高度。 	O	04	chinese	car	rules	true
chinese-car-rules-true-324	載重貨車行駛高速或快速公路，因超載逾百分之二十而無法當場卸貨分裝者，經舉發後，未改正繼續行駛者，得連續舉發處罰。 	O	04	chinese	car	rules	true
chinese-car-rules-true-325	貨車行駛高速或快速公路裝載超長物品時，其後伸部分，不得遮擋車後燈光或號牌。 	O	04	chinese	car	rules	true
chinese-car-rules-true-326	汽車行駛於道路上，其駕駛人、前座及小型車後座乘客，均應繫安全帶。 	O	04	chinese	car	rules	true
chinese-car-rules-true-327	大型客車為增加運輸量，行駛高速或快速公路時，允許站立乘客。 	X	04	chinese	car	rules	true
chinese-car-rules-true-328	汽車行駛高速或快速公路時，不得連續密集按鳴喇叭、變換燈光或其他方式迫使前車讓道。 	O	04	chinese	car	rules	true
chinese-car-rules-true-329	四輪以上汽車行駛高速或快速公路時，其輪胎胎面不得磨損至中華民國國家標準 CNS 1431 汽車用外胎（輪胎）標準或 CNS 4959 卡客車用翻修輪胎標準所訂之任一胎面磨耗指示點。 	O	04	chinese	car	rules	true
chinese-car-rules-true-330	汽車行駛高速或快速公路時，不得有車輪、輪胎膠皮或車輛機件脫落之情形。 	O	04	chinese	car	rules	true
chinese-car-rules-true-331	在高速公路碰到交通阻塞時，汽車可利用路肩行駛。 	X	04	chinese	car	rules	true
chinese-car-rules-true-332	未經高速或快速公路管理機關登記許可之拖、吊車輛，不得擅自在高速或快速公路沿線路權範圍內營業。 	O	04	chinese	car	rules	true
chinese-car-rules-true-333	汽車行駛高速公路，在正常天候狀況下，行駛速率為每小時100公里時，前後兩車間之最小行車安全距離，大型車為80公尺，小型車為50公尺。	O	04	chinese	car	rules	true
chinese-car-rules-true-334	小型汽車在高速或快速公路行車速限每小時80公里路段行駛時，為維護行車安全，應與同車道前行車輛保持至少40公尺距離。 	O	04	chinese	car	rules	true
chinese-car-rules-true-335	在高速或快速公路行駛時，如遇濃霧、濃煙、強風、大雨、夜間行車或其他特殊狀況時，其安全距離應酌量增加。 	O	04	chinese	car	rules	true
chinese-car-rules-true-336	行駛高速或快速公路前，應蒐集並瞭解各項交通管制疏導措施及道路交通狀況。 	O	01	chinese	car	rules	true
chinese-car-rules-true-337	超速行駛是肇事最大原因之一。 	O	01	chinese	car	rules	true
chinese-car-rules-true-338	睡眠不足，神志不清只要小心駕駛仍然可以開車。 	X	01	chinese	car	rules	true
chinese-car-rules-true-339	對汽車性能不了解與行車安全並無關係。 	X	01	chinese	car	rules	true
chinese-car-rules-true-340	遵守道路交通安全規則，必可減少交通事故。 	O	01	chinese	car	rules	true
chinese-car-rules-true-341	在車禍將發生前，能立即採取合理適當行動加以防止，叫做防衛駕駛。	O	01	chinese	car	rules	true
chinese-car-rules-true-342	行車前了解沿途道路狀況，對行車安全並無幫助。 	X	01	chinese	car	rules	true
chinese-car-rules-true-343	在深夜凌晨人車稀少，可以超速行駛。 	X	01	chinese	car	rules	true
chinese-car-rules-true-344	在夜間開車前，應將擋風玻璃及駕駛座兩側玻璃擦拭乾淨，可增加行車安全。 	O	01	chinese	car	rules	true
chinese-car-rules-true-345	夜間行車如來車不變近光燈，可以用遠光燈來報復以增加安全。 	X	01	chinese	car	rules	true
chinese-car-rules-true-346	行駛在積水路段，應減速慢行，通過後並試踩煞車。 	O	01	chinese	car	rules	true
chinese-car-rules-true-347	抬頭遠看，增大目視距離，保持足夠行車安全距離和間隔，為肇事預防要點之一。 	O	01	chinese	car	rules	true
chinese-car-rules-true-348	肇事發生應立即停車，保持現場以最快方法報請有關單位處理。 	O	01	chinese	car	rules	true
chinese-car-rules-true-349	肇事處理，不可斤斤計較責任誰屬，應發揮道德精神救人為先原則，以免延誤，增大傷亡與損失。 	O	01	chinese	car	rules	true
chinese-car-rules-true-350	發生重大交通事故，為迅速恢復交通，清除現場，可不必等待肇事處理機關之指示，即可進行。 	X	01	chinese	car	rules	true
chinese-car-rules-true-351	辦理肇事和解，應由當事人、法定代理人、監護人或繼承人為之。 	O	01	chinese	car	rules	true
chinese-car-rules-true-352	肇事責任屬於對方受傷人，為避免受到牽連，可不須送醫救治。 	X	01	chinese	car	rules	true
chinese-car-rules-true-353	汽車行駛時，乘客不可將頭或身體部位伸出窗外。 	O	05	chinese	car	rules	true
chinese-car-rules-true-354	若因隧道內車道壅塞，可變換至較少車輛之車道行駛，以紓解車流量。	X	03	chinese	car	rules	true
chinese-car-rules-true-355	長隧道內設有緊急聯絡電話，供車輛故障或發生車禍與災變時通報行控中心之用。 	O	03	chinese	car	rules	true
chinese-car-rules-true-356	行經隧道若發生交通事故，雖無人員傷亡，且車輛尚能行駛者，為求釐清事故責任，應保持事故現場完整，不得移動車輛。 	X	03	chinese	car	rules	true
chinese-car-rules-true-357	汽車肇事時，為使失去知覺的傷者儘速恢復知覺，應向傷者拍打搖動。	X	03	chinese	car	rules	true
chinese-car-rules-true-358	汽車肇事時，除非車子著火或有爆炸的危險，儘可能在車內急救傷者。	O	03	chinese	car	rules	true
chinese-car-rules-true-359	汽車肇事時，如果必須將傷者抬起不可只抬他的頭和腳，要將身體每一部份平托抬起。 	O	03	chinese	car	rules	true
chinese-car-rules-true-360	汽車駕駛人，僅需具有優良駕駛技術，不需具備急救的常識和技能。 	X	03	chinese	car	rules	true
chinese-car-rules-true-361	一般汽車駕駛人應參考車主手冊上之說明採用適當辛烷值之汽油。 	O	05	chinese	car	rules	true
chinese-car-rules-true-362	若用過低辛烷值汽油，會引起不正常燃燒，造成震爆、耗油及行駛無力等現象。 	O	05	chinese	car	rules	true
chinese-car-rules-true-363	減少車輛不必要的負載以減輕重量，可減少耗油。 	O	05	chinese	car	rules	true
chinese-car-rules-true-364	冷車啟動後無須於空檔加油門進行暖車，以緩步行駛可加速達到引擎正常工作溫度。 	O	05	chinese	car	rules	true
chinese-car-rules-true-365	汽車行駛中應以平穩漸進的速度行駛，避免低速檔使用的時間過長。 	O	05	chinese	car	rules	true
chinese-car-rules-true-366	汽車行駛過程中，平穩起駛，並儘量維持穩定車速行駛是最省油的駕駛方法。 	O	05	chinese	car	rules	true
chinese-car-rules-true-367	開車應儘量避免尖峰時間通過車多、人多壅塞路線以免增加油耗。 	O	05	chinese	car	rules	true
chinese-car-rules-true-368	汽車駕駛人有未依規定行駛車道之駕駛行為時，如當場不能或不宜攔截製單舉發者，得逕行舉發處罰。 	O	02	chinese	car	rules	true
chinese-car-rules-true-369	小客車附載幼童未依規定安置於安全椅者，處駕駛人新臺幣1,500～3,000元罰鍰。 	O	02	chinese	car	rules	true
chinese-car-rules-true-370	汽車駕駛人，不依規定使用燈光者，處以罰鍰。 	O	02	chinese	car	rules	true
chinese-car-rules-true-371	利用道路為工作場所，除責令行為人即時停止並消除障礙外，處行為人或雇主罰鍰。 	O	02	chinese	car	rules	true
chinese-car-rules-true-372	汽車車身、引擎、底盤、電系等重要設備變更或調換時，不需向公路主管機關申請臨時檢驗。	X	02	chinese	car	rules	true
chinese-car-rules-true-373	汽車裝載貨物行經設有地磅處所1公里內路段，未依標誌、標線、號誌指示過磅者，處汽車駕駛人新臺幣10,000元罰鍰，並得強制其過磅。	O	02	chinese	car	rules	true
chinese-car-rules-true-374	汽車駕駛人駕駛汽車行近未設行車管制號誌之行人穿越道時，可以快速通過，不須減速慢行，以免車道壅塞。 	X	02	chinese	car	rules	true
chinese-car-rules-true-375	汽車駕駛人行經有燈光號誌管制之交岔路口，紅燈右轉者，處新臺幣600～1,800元罰鍰。 	O	02	chinese	car	rules	true
chinese-car-rules-true-376	年滿60歳職業駕駛人，應每年至中央衛生主管機關評鑑合格醫院作體格檢查一次，並經醫師依合格標準規定判定符合標準者，始准繼續換領職業駕駛執照。	O	02	chinese	car	rules	true
chinese-car-rules-true-377	未領有汽車駕駛執照之人，違反道路交通管理處罰條例規定，應受吊扣駕駛執照處分，在所規定最長吊扣期間內，不得考領駕駛執照。	O	02	chinese	car	rules	true
chinese-car-rules-true-378	機車、小客車、小客貨兩用車及小貨車所有人，應繳交車輛製造廠、代理商或進口商出具，經內政部認可，施加於車輛特定零組件之防竊辨識碼完工證明文件，始得申請新領牌照登記。 	O	02	chinese	car	rules	true
chinese-car-rules-true-379	汽車車身外不得附加燈飾；車燈亦不得加以噴色或黏貼膠紙。 	O	02	chinese	car	rules	true
chinese-car-rules-true-380	四輪以上汽車在劃有快慢車道分隔線之道路行駛，除起駛、準備轉彎、準備停車或臨時停車外，不得行駛慢車道。但設有快慢車道分隔島之道路不在此限。 	O	02	chinese	car	rules	true
chinese-car-rules-true-381	汽車不得在設有彎道、險坡、狹路標誌之路段、槽化線、交通島或道路修理地段停車。 	O	02	chinese	car	rules	true
chinese-car-rules-true-382	汽缸總排氣量 550立方公分以上之大型重型機車行駛於高速公路及快速公路，可於同車道併駛或超車。 	X	04	chinese	car	rules	true
chinese-car-rules-true-383	汽缸總排氣量 550立方公分以上之大型重型機車行駛於高速公路及快速公路，應配戴之安全帽，且其安全帽應為全面式或露臉式。 	O	04	chinese	car	rules	true
chinese-car-rules-true-384	汽缸總排氣量550立方公分以上之大型重型機車行駛高速公路及快速公路，應妥為檢查車輛其輪胎任一點胎紋深度不得不足1公釐。 	O	04	chinese	car	rules	true
chinese-car-rules-true-385	汽缸總排氣量 550立方公分以上之大型重型機車行駛於高、快速公路，應全天開亮頭燈。 	O	04	chinese	car	rules	true
chinese-car-rules-true-386	所謂「安全邊際」就是駕駛人對各種行車因素，因疏忽而發生危險時可供緩衝的限度。 	O	01	chinese	car	rules	true
chinese-car-rules-true-387	有「安全邊際」觀念的駕駛人，會事先做應變的措施，去預防違規行為之人、車侵犯自己的行車安全。 	O	01	chinese	car	rules	true
chinese-car-rules-true-388	 「平穩駕駛」的方法，就是不急速起駛，左右轉彎慢一點，不超速急衝、不亂變換車道、保持安全間距，不驟然緊急煞車、搶道、爭道、闖紅燈。 	O	01	chinese	car	rules	true
chinese-car-rules-true-389	駕駛人在行車前，應先調整座椅位置，並調整左、右照後鏡、室內鏡在適當角度的位置。且鏡面務必擦拭明晰，以助看清周圍狀況。 	O	01	chinese	car	rules	true
chinese-car-rules-true-390	開車起駛，眼睛之視距不可太遠，應隨車速之增加而把視距加遠。 	O	01	chinese	car	rules	true
chinese-car-rules-true-391	後車跟隨前車，其最小安全跟車距離，須大於停車距離。 	O	01	chinese	car	rules	true
chinese-car-rules-true-392	避免碰撞的準則為保持安全跟車距離。 	O	00	chinese	car	rules	true
chinese-car-rules-true-393	發生肇事的主因為跟車太近、任意超車、任意變換車道、搶道轉彎、開快車搶時間。 	O	01	chinese	car	rules	true
chinese-car-rules-true-394	反應距離，是指汽車駕駛人於行進間發現任何狀況時所採取的因應措施，其反應時間內車輛所行駛之距離。 	O	01	chinese	car	rules	true
chinese-car-rules-true-395	汽車軸距愈長、輪距愈寬，所需最小迴轉半徑愈大。 	O	01	chinese	car	rules	true
chinese-car-rules-true-396	視野為駕駛人兩眼注視正前方時，對於兩側事物所能感受之能力或界限。 	O	01	chinese	car	rules	true
chinese-car-rules-true-397	汽車車速愈快，駕駛人的視野愈大，故在遠方的景色較易看清楚。 	X	01	chinese	car	rules	true
chinese-car-rules-true-398	汽車行駛速度愈快，駕駛人的視野變窄、視力變差。 	O	01	chinese	car	rules	true
chinese-car-rules-true-399	下雨時路面變滑，急轉彎、急煞車都會使車身橫滑，應小心駕駛。 	O	01	chinese	car	rules	true
chinese-car-rules-true-400	彎道行駛輪胎打滑時，絕不可踩煞車，最安全的措施是放鬆加速油門。	O	01	chinese	car	rules	true
chinese-car-rules-true-401	汽車直行中發現車尾向右側滑，方向盤應該略向右邊修正。 	O	01	chinese	car	rules	true
chinese-car-rules-true-402	把小孩留在車內，離座時應取下鑰匙並上鎖，始可遠離車輛，但不可超過20分鐘。 	X	01	chinese	car	rules	true
chinese-car-rules-true-403	汽車駕駛人駕駛汽車肇事致人受傷或死亡者，應即採取救護措施及依規定處置，並通知警察機關處理，不得任意移動肇事汽車及現場痕跡證據；但肇事致人受傷案件當事人均同意時，應將肇事汽車標繪後，移置不妨礙交通之處所。 	O	01	chinese	car	rules	true
chinese-car-rules-true-404	大部份的行車事故，都是因為汽車駕駛人的疏忽、錯誤，及不良的駕駛習慣所造成。 	O	01	chinese	car	rules	true
chinese-car-rules-true-405	發現車禍與我無關趕快駛離現場，不須報警。 	X	01	chinese	car	rules	true
chinese-car-rules-true-406	行車事故責任未明時，當事人得向警察機關或公路監理機關申請鑑定。	X	01	chinese	car	rules	true
chinese-car-rules-true-407	交通事故當事人對於行車事故鑑定委員會之鑑定結果不服時，得於接到鑑定責任意見書之翌日起30日內，向覆議委員會申請覆議。 	O	01	chinese	car	rules	true
chinese-car-rules-true-408	駕駛前服用感冒藥、多量鎮定劑，應不影響身心狀況，仍可繼續駕駛。	X	05	chinese	car	rules	true
chinese-car-rules-true-409	飲酒後，會使視覺能力變差，運動反射神經遲鈍，肇事率增加。 	O	05	chinese	car	rules	true
chinese-car-rules-true-410	汽車駕駛人若喝酒後，會使反應遲延，視力增加。 	X	05	chinese	car	rules	true
chinese-car-rules-true-411	兒童須乘坐於小客車之前座。 	X	05	chinese	car	rules	true
chinese-car-rules-true-412	汽、機車所有人將車輛借予他人使用時，除應檢查其有無駕照及身心狀況外，並應將車況詳為告知。 	O	05	chinese	car	rules	true
chinese-car-rules-true-413	汽車加油後，油箱蓋應鎖緊才可減少油料蒸發損失，並保持油料清潔。	O	05	chinese	car	rules	true
chinese-car-rules-true-414	汽車駛入加油站加油時，引擎應關閉，並不得抽菸或撥、接手機，以免發生危險。 	O	05	chinese	car	rules	true
chinese-car-rules-true-415	汽車加油要打開加油口旋轉蓋時，油箱內可能具有壓力，應依逆時針方向先開啟一半，等「嘶嘶」聲停止後，再完全打開，以免剩油噴出造成傷害。 	O	05	chinese	car	rules	true
chinese-car-rules-true-416	汽車加完油後，要將加油口蓋轉緊時，應依順時針方向旋轉至棘輪發出聲響為止。 	O	05	chinese	car	rules	true
chinese-car-rules-true-417	道路駕駛練習，行車前不必實施車輛安全檢查，因為那是駕駛教練的工作。 	X	05	chinese	car	rules	true
chinese-car-rules-true-418	夜間行車，若燈光照射距離變遠，即表示為下坡路段。 	O	05	chinese	car	rules	true
chinese-car-rules-true-419	汽車下坡時，如關掉引擎，動力方向盤和煞車增壓器不能正常運作，易發生事故。 	O	05	chinese	car	rules	true
chinese-car-rules-true-420	汽車下長坡道時，應儘量使用腳煞車，勿過度使用引擎煞車。 	X	05	chinese	car	rules	true
chinese-car-rules-true-421	汽車下長坡道時，如果能適當運用引擎煞車，不但會減少車輛損壞率，且最安全。 	O	05	chinese	car	rules	true
chinese-car-rules-true-422	汽車行駛於長下坡，為避免煞車過度使用而失靈，應將檔位排入低速檔，配合引擎煞車而勿過度使用腳煞車。 	O	05	chinese	car	rules	true
chinese-car-rules-true-423	自排車之引擎煞車效果，較手排車為佳。 	X	05	chinese	car	rules	true
chinese-car-rules-true-424	汽車行經坡道，上坡時不得蛇行前進，下坡時不得關閉引擎或放空檔滑行。 	O	05	chinese	car	rules	true
chinese-car-rules-true-425	汽車行經坡度大約相等的上、下坡道，上坡時若以2檔行駛，下坡時應以3檔或4檔行駛，既可省油又可節省時間。 	X	05	chinese	car	rules	true
chinese-car-rules-true-426	行車時可使用超速傳動檔（O/D檔）來做引擎煞車。 	X	05	chinese	car	rules	true
chinese-car-rules-true-427	汽車加減速次數愈多，排放廢氣污染愈嚴重。 	O	05	chinese	car	rules	true
chinese-car-rules-true-428	急速踩放油門踏板，會造成耗油與增加排放污染氣體之不良現象。 	O	05	chinese	car	rules	true
chinese-car-rules-true-429	汽車行駛速度愈高，則愈省油。 	X	05	chinese	car	rules	true
chinese-car-rules-true-430	在同一車速下，使用低速檔的輸出扭力，較使用高速檔的輸出扭力為大。 	O	05	chinese	car	rules	true
chinese-car-rules-true-431	行車速度，可不依速限標誌或標線之規定。 	X	05	chinese	car	rules	true
chinese-car-rules-true-432	急速起駛能縮短低速檔行駛時間，可節省油料。 	X	05	chinese	car	rules	true
chinese-car-rules-true-433	駕駛汽車為了安全及節能減碳，行車車速要平穩，不急加速或急減速，且應保持安全間距。 	O	05	chinese	car	rules	true
chinese-car-rules-true-434	汽車行駛時，急加速或急煞車，不但比較耗油，輪胎、煞車來令等磨損較快，而且肇事機率也較大，但與廢氣污染無關。 	X	05	chinese	car	rules	true
chinese-car-rules-true-435	汽車除遇突發狀況必須減速外，不得任意驟然減速。 	O	05	chinese	car	rules	true
chinese-car-rules-true-436	通過無號誌管制的交岔路口時，最好是先看左，再看右，比較安全。 	O	05	chinese	car	rules	true
chinese-car-rules-true-437	看見路上發生事故，警察已到現場處理，應繞道離開，不可好奇在現場停留觀看。 	O	05	chinese	car	rules	true
chinese-car-rules-true-438	汽車行至交岔路口前，行車管制號誌燈如轉為黃燈時，最好事先輕踩煞車減速，讓跟隨在後的車輛提早看到你的煞車燈光，以便後車提前因應，可避免被其追撞的危險。 	O	05	chinese	car	rules	true
chinese-car-rules-true-439	提早使用煞車，儘量避免緊急煞車，以防後車追撞，危及車內人員之安全。	O	05	chinese	car	rules	true
chinese-car-rules-true-440	汽車行近交岔路口前，在遠方見到行車管制號誌燈已轉為紅燈，應考量車速與車距，不任意踩油門或煞車踏板，儘量讓車輛自行滑行前進，以便節省油耗，達到節能減碳的效果。	O	00	chinese	car	rules	true
chinese-car-rules-true-441	小型車儘量避免緊跟大型車之後行駛，前方視線易受其遮擋，如果前方有突發狀況，則無法提早應變。 	O	05	chinese	car	rules	true
chinese-car-rules-true-442	起駛、停車、變換車道、轉彎時，應顯示方向燈，預告動向，並採取平穩漸進的方式為之。 	O	05	chinese	car	rules	true
chinese-car-rules-true-443	駕車轉彎時除應使用方向燈及注意照後鏡之外，並轉頭查看確認安全後，始得轉彎。	O	05	chinese	car	rules	true
chinese-car-rules-true-444	汽車左、右兩側照後鏡，可看到側方及後方景物，所以行車轉彎、變換車道等，只要顯示方向燈、察看照後鏡即可，不需再做擺頭動作。 	X	05	chinese	car	rules	true
chinese-car-rules-true-445	左轉彎時，行至交岔路口才顯示方向燈或手勢，換入內側車道或左轉車道，行至交岔路口中心處左轉，並不得占用來車車道搶先左轉。 	X	05	chinese	car	rules	true
chinese-car-rules-true-446	路口左轉燈亮時，為防範突發狀況，應慢速左轉或迴轉。 	O	05	chinese	car	rules	true
chinese-car-rules-true-447	在交岔路口等候左轉之車輛，綠燈亮時即可搶先左轉。 	X	05	chinese	car	rules	true
chinese-car-rules-true-448	在左轉專用道上之車輛，因臨時起意，可以不左轉，改為向前直行。 	X	05	chinese	car	rules	true
chinese-car-rules-true-449	在道路行駛之汽車，對右前方行駛之機車，雖未顯示左轉方向燈，但仍應防範他突然左轉，造成交通事故。 	O	05	chinese	car	rules	true
chinese-car-rules-true-450	綠燈給你行的權利，但不一定給你行的安全，所以行車至交岔路口，還是必須放慢車速行駛。 	O	05	chinese	car	rules	true
chinese-car-rules-true-451	路邊停車後欲起駛前進時，不用顯示方向燈，但應注意車輛前後左右動向。 	X	05	chinese	car	rules	true
chinese-car-rules-true-452	行車欲超越前方車輛，應先打右方向燈。 	X	05	chinese	car	rules	true
chinese-car-rules-true-453	汽車於劃設有行車分向線之雙向二車道超車時，應注意超車的時間與距離，滯留對向車道時間愈久，肇事危險的機率愈大。 	O	05	chinese	car	rules	true
chinese-car-rules-true-454	行車轉向、橫越他車或超車時，都要有充裕的時間與空間。 	O	05	chinese	car	rules	true
chinese-car-rules-true-455	欲超越前車時，先將排檔換高一檔，可以保持加速性能在最佳狀態。 	X	05	chinese	car	rules	true
chinese-car-rules-true-456	汽車在轉彎時，應減速慢行，如感覺非踩煞車不可，表示在轉彎前未充分減速。 	O	05	chinese	car	rules	true
chinese-car-rules-true-457	變換車道或轉彎時，為爭取時間，無需啟用方向燈，並立即匯入或轉彎。 	X	05	chinese	car	rules	true
chinese-car-rules-true-458	變換車道時應採用適當的速度，平穩漸進，是優良駕駛人應有的駕駛行為。 	O	05	chinese	car	rules	true
chinese-car-rules-true-459	在多車道之路口前，為方便左右轉向，可在雙白實線區變換車道。 	X	05	chinese	car	rules	true
chinese-car-rules-true-460	倒車時如無法確定車後狀況是否安全，應下車親自察看實況再行倒車。	O	05	chinese	car	rules	true
chinese-car-rules-true-461	停車時儘量停放在陰涼處所，並避免長時間開冷氣在車內休息，耗油又危險。 	O	05	chinese	car	rules	true
chinese-car-rules-true-462	停車後，駕駛人及乘客應先察看後方是否有來車或行人，不可即行推開車門下車。 	O	05	chinese	car	rules	true
chinese-car-rules-true-463	上下車開關車門，應謹慎小心，注意察看四周有無障礙物，並注意前後有無來車、行人，確認安全後，再分段開啟車門上下車。 	O	05	chinese	car	rules	true
chinese-car-rules-true-464	開啟車門及上下車應注意後方來車，避免發生車禍，確保行車安全。 	O	05	chinese	car	rules	true
chinese-car-rules-true-465	路邊停妥車輛後，打開車門前應先確定左後方並無來車，尤其是機車。	O	05	chinese	car	rules	true
chinese-car-rules-true-466	為節能減碳，停車怠速時間不得超過3分鐘，以免排放廢氣污染環境，違者可依空氣污染防制法處以罰鍰。 	O	05	chinese	car	rules	true
chinese-car-rules-true-467	汽車行駛長隧道發生火災時，應迅速將車輛停靠兩側路邊，就近找尋安全的場所避難，為了救災需要，此時不可將車門上鎖，並將車鑰匙留在車上。 	O	05	chinese	car	rules	true
chinese-car-rules-true-468	轉動汽車方向盤半圈以上時，應採用連續交叉旋轉的操作方法。 	O	05	chinese	car	rules	true
chinese-car-rules-true-469	汽車行駛中突然爆胎，應握緊方向盤，保持直行狀態，並放鬆油門踏板。 	O	05	chinese	car	rules	true
chinese-car-rules-true-470	汽車涉水後，煞車效能不變。 	X	05	chinese	car	rules	true
chinese-car-rules-true-471	手排車踩離合器踏板的動作要慢踩快放，踩煞車踏板的動作要快踩慢放。 	X	05	chinese	car	rules	true
chinese-car-rules-true-472	駕駛自動排檔車上高速公路時，從開車上路起就可將排檔桿排在最低檔位，不論開快或開慢，排檔桿會自動調整到適當的檔位，放心行駛，不會有問題。 	X	05	chinese	car	rules	true
chinese-car-rules-true-473	高速公路行車，由於路面平直，速度均勻，精神較不受影響。 	X	05	chinese	car	rules	true
chinese-car-rules-true-474	汽車安全保養檢查或進場實施定期保養檢查的目的，是促進行車安全與減少行車成本，及降低駕駛者之開車壓力等。 	O	05	chinese	car	rules	true
chinese-car-rules-true-475	汽車安全檢查後，務必確認引擎蓋已經確實蓋緊鎖定，始可開車上路，以避免行車時引擎蓋意外開啟。 	O	05	chinese	car	rules	true
chinese-car-rules-true-476	行車前在引擎室裡，檢查水箱水量、電瓶液、機油、煞車油都達到安全標準，並檢視皮帶完整無損，才可以上路。 	O	05	chinese	car	rules	true
chinese-car-rules-true-477	開車前，不必檢查機件安全，但在行駛中要隨時注意儀錶功能顯示，確保行車安全。 	X	05	chinese	car	rules	true
